name,address,latitude,longitude
AGNIESZKA KUŹMA-FILIPEK Lawenda Public Relations,Aleja Dzieci Polskich 67C,52.2109777,21.20401777496825
SAR PRZEDSIĘBIORSTWO BOGUSŁAW WICIK,KRUSZYŃSKA 37,52.2336255,20.918111370871266
"Piotr Szczepaniak PRZEDSIĘBIORSTWO INŻYNIERYJNO-BUDOWLANO-MONTAŻOWE ""BUDOMONT""",Łączyny 2/52,52.15910645,21.001915619588523
KANCELARIA ADWOKACKO-RADCOWSKA TUZINEK I WPÓLNICY S.C. PAWEŁ TUZINEK,Warsztatowa 11C,52.1915338,21.185887962827735
ECON-NT Paweł Kalbarczyk,Kąkolowa 81A,52.1828545,21.192986429075546
AS-TAX Arkadiusz Strzelczak,Rajmunda 9,52.2854026,21.057754838869847
""" O włos..."" AGNIESZKA SUCHECKA",al. Aleja Wyzwolenia 11,52.219418149999996,21.019965640714908
"Godowski Jacek, BELU",Bruzdowa 19a,52.14661935,21.136099374736567
"1) AKO ALEKSANDER KOSZOWSKI
2) KOSZOwski s.c. ALEKSANDER KOSZOWSKI",al. Aleja Wojska Polskiego 9,52.26372255,20.993854008308855
MUROWANIE GROBÓW ZAJĄC TERESA,Palisadowa 28,52.2967221,20.902269344263146
Beauty Lanka Weronika Słowik,STANISŁAWA CHUDOBY 93A,52.34086085,21.06535982872549
ANTON DREKA,ul. Nowogrodzka 31/414,52.2280192,21.0083201
J. W. LOVEAUTO JAN WOJDA,ŻOŁNY 48C,52.138491599999995,21.021218512937594
Stalownia Marta Stolarczyk,pl. Plac Czerwca 1976 Roku 9,52.201434750000004,20.891846118716018
K & T - VĂN THƯỞNG TRẦN,al. Dzieci Polskich 13,52.207525450000006,21.19046566371951
"""GABEA"" BEATA GAJEWSKA",Albatrosów 10,52.148866,21.019343321941264
Kancelaria Adwokacka Piotr Królak,Cybisa 36,52.152677999999995,21.021613351070265
SALVUM MEDYCYNA RATUNKOWA DAMIAN KOWALCZYK,KASJOPEI 31,52.28248495,20.905155582015723
Izabela Nowak-Grodowska Kancelaria Doradcy Podatkowego,Poprawna 27M,52.21152775,21.11426463454122
"Hausner Stanisław ""Maszyny spożywcze"" ; Stanisław Hausner Maszyny spożywcze - wspólnik spółki cywilnej",Dusznicka 82,52.16813905,21.21951856400969
KAROLINA KRUSZYŃSKA-KUBIAK - wspólnik spółki cywilnej I-sza Żoliborska Przychodnia Weterynaryjna S.C.,ul. Gdańska 2,52.2724602,20.9740965
AUTO DYMEK DANIEL DYMKOWSKI,BORKÓW 39A,52.19086585,21.148926595266353
Euro Pol Travel Iwona Jędrzejewska,Wylotowa 7,52.21539945,21.147552125390852
"Igor Szczechura ""SIMAUTO""",Wierchów 9,52.21999325,21.147743131395835
"MARIA SKUTELA BIURO RACHUNKOWE ""SALDO""",Smugowa 55,52.325444000000005,21.01150956712847
JOANNA KOŁODZIEJSKA HYVA,JANA OLBRACHTA 23B/118,52.232334249999994,20.93335966187992
ALEKSANDRA KONOPA Lek. Aleksandra Konopa,Czarnołęcka 2,52.2078178,21.188948646182723
M&S Oleksandr Furs,ul. Ostródzka 130,52.32732405,21.06674792469463
Sylwester Rypina,ul. Młynarska 42/115,52.2375543,20.9719895
PAULINA NOWAKOWSKA Undermybow,Klaudyny 28C,52.2833816,20.97220460383266
Dorota BRUDKIEWICZ-MACIEJEWSKA,Kasjopei 75,52.2810504,20.90567755722634
"Jacek ZBRZEŹNIAK 1.PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWO-HANDLOWE ""MOTGOS""- WSPÓLNIK SPÓŁKI CYWILNEJ; 2.""ZBRZEŹNIAK"" JACEK ZBRZEŹNIAK",Rydygiera 9a,52.2594749,20.979371194678606
Przedsiębiorstwo Handlowe Usługowe MARIO TOURNE,ul. Czerniakowska 71/508,52.2026463,21.0492022
Przemysław Dąbrowski,Karska 5,52.28410905,20.951321498390335
Argan cream oil Zulfiqar Ali Nawab,al. Jerozolimskie 85/21,52.227172,21.0004447
DPT Mariusz Lewandowski,Płochocińska 167a,52.35608825,21.026940427234308
Consultnet Zbigniew Gołębiewski,Poprawna 98,52.217857249999994,21.11251619449636
Maja Olędzka Firma Usługowa,Myszołowa 4,52.169106400000004,21.175437674708032
ZOFIA WALICKA Zofia z lasu,CZYSTA 3,52.11855305,21.012441973349567
Monika Kurzep,BOGUMIŃSKA 7,52.28139575,21.069138497144046
Rebel Mind Iga Kowalska,pl. Wilsona 4/40,52.2688858,20.986367651734106
KWIACIARNIA „KROKUSIK” u KASI ALEKSANDER ABRAMCZUK,ul. Radzymińska 202,52.2555602,21.0496379
PAWEŁ TRĘBIŃSKI,Nowolipie 10,52.244137699999996,20.994164755177103
Broker-finance Robert Buszewski,WYCZÓŁKI 99,52.1570248,20.995888911672672
Gwarancje24 Liliana Zielińska,Trakt Lubelski 300E/25,52.210206150000005,21.136392572126173
MECHANIX ZDZISŁAW WRÓBEL,ŁODYGOWA 44,52.28589825,21.091844845514494
TOMASZ MEUŚ NO PROBLEM,Karnicka 18,52.34084105,20.98024248043407
INDUE CONSULTING KRZYSZTOF KOLASA,PEŁCZYŃSKIEGO 14A/182,52.24305805,20.907836402610627
Anna Łakomska,NOWY ŚWIAT 33/13,52.2335289,21.0186592
BŁAŻEJ KOWALCZYK,BOCZAŃSKA 6,52.3445712,20.971212364601893
INDYWIDUALNA SPECJALISTYCZNA PRAKTYKA LEKARSKA MAŁGORZATA FRYDRYCH-DALECKA,Zawadowskiego 4,52.16461355,21.019446518188204
kancelaria adwokacka OLGA RENTFLEJSZ,MELOMANÓW 6,52.2062576,21.05362100713675
LAN master Piotr Seredyński,Jana Bytnara „Rudego” 19,52.19227515,21.006981783380553
TRANSPORT CIĘŻAROWY SMOLAGA PIOTR,Rumiana 2,52.168930849999995,21.081816304289575
Maciej Krzyżowski,CZŁUCHOWSKA 19,52.229077649999994,20.91700455
STANISŁAW STACHOWICZ STAMARZ Stanisław Stachowicz,Bohaterewicza 5/7/105,52.23016925,21.08991769147587
XKloud Consulting Bogdan Klekot,Sielankowa 25,52.179413100000005,21.178496949002103
TARGET PROJECTS Brittain David,Kruczkowskiego 8,52.234481,21.0310854
DAKA SKUP I SPRZEDAŻ ZŁOMU DOROTA KLECZYŃSKA,Strażacka 39B,52.2594706,21.123688609074016
"""EDMA"" ROGUSKI ZBIGNIEW",PORANNEJ BRYZY 24,52.2898008,21.055429495374646
Tomasz Sobota,Armii Krajowej 62,52.2499287,21.230208799907576
AGNIESZKA CZARNECKA-ŚWIERKOT-GABINET LAKARSKI,ZEUSA 27,52.2483235,20.91008776355707
BEATA ORACZ MAJSTERKOWICZ S.C.,MYŚLIBORSKA 21,52.301591450000004,20.978124859805003
Chaos Brothers Piotr Tomczyk,ul. Woronicza 31/102,52.189152,21.0256962
PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE AGATA SUBDA,Arkuszowa 8,52.2837118,20.9115917
GEOPROFIT Wojciech Dziemianowicz,Wiązana 26F,52.2026522,21.144500043887245
Game Development Mateusz Zieliński,AGRARNA 16,52.2511195,21.12711659860896
Krzysztof Gocałek Consulting,ul. Inflancka 15/137,52.2543092,20.9886383
"BARBARA STANIEWICZ-BŁAWAT AGENCJA HANDLOWA ""OMEGA""",Lawendy 1,52.13201625,21.10832788063471
STB Dariusz Kaca,pl. Plac Czerwca 1976 Roku 7,52.2015039,20.892251931059434
GRAŻYNA MAŚLAK PAWILON HANDLOWY,Globusowa 8,52.20769795,20.916172351175206
ROMUALD RADZEWICZ GENUINE MAX,BURAKOWSKA 12,52.2548397,20.9794602
E-SYSTEM TOMASZ FURMAN,BRZEZIŃSKA 19L,52.35587485,20.976524710369773
KANCELARIA PRAWNICZA RADCA PRAWNY KRZYSZTOF ŚLIWKA,Wąchocka 1N,52.2276641,21.05574017025465
"ANNA HRYNIEWICZ ""Kancelaria Adwokacka Adw. Anna Hryniewicz""",Hufcowa 11,52.1812702,21.20810639978501
"""ADINVEST Andrzej Drożdż""",Jodłowa 10,52.21824835,21.225043832591936
Tomasz Tonderys Logistics,ul. Żurawia 6/12,52.2289874,21.0178122
Małgorzata Stankowska,Zamieniecka 90,52.2415873,21.1018836
WILADOM KRYSTYNA ORZYŃSKA,SYTA 50,52.1587025,21.12030104049774
Krzysztof Wałaszewski,Pustułeczki 9D,52.1430126,21.02991491506294
Kamil Krzywkowski,derkaczy 62,52.16348975,21.206531769579314
"""WALM"" F.H.U Renata Walkowicz wspólnik spółki cywilnej",Warszawska 4A,52.2441734,21.17969841331404
"""M.K. SZUSTER"" Juliusz Krzysztof Szuster",al. Jerzego Waszyngtona 38/40,52.2397013,21.06099054619565
GRZEGORZ WNOROWSKI WMW ARCHITEKCI,Poczty Gdańskiej 45,52.196819500000004,20.897443431954883
"""LASKAR"" KARASZEWSKI PIOTR",Andrutowa 13,52.12300355,21.100231993558943
MAGDALENA BADURA M.A.G. FiLM,Węglarska 44,52.2103847,21.147547325776152
Felicia art studio DOROTA GORZKOWSKA,Kajakowa 7,52.12958385,21.023174951498813
JERZY KURKUS GEORGE II,Miłkowskiego 1D,52.219671149999996,21.1378128865858
"NATALIA RUMIANOWSKA KAWIARNIA ""FRAZA""",MOKOTOWSKA 16/20,52.220939650000005,21.01909259793078
"Stefania FROST AGENCJA HANDLOWO-USLUGOWA ""FROST""",Emilii Plater 20/33,52.2253928,21.0077145
KWIATUCH.PL Piotr Skorupko,"al. Aleja gen. Antoniego Chruściela ""Montera"" 72",52.2617362,21.165562620238095
Zdzisław Pieniążek,Małego Rycerza 27,52.3341929,21.04024988023299
Artur Jończyk KANCELARIA RADCY PRAWNEGO ARTUR JOŃCZYK,Ruczaj 4B,52.133226,21.130702264557783
Mariusz Prusaczyk YELOW CAB,Syrokomli 7/13/243,52.28489605,21.024367402997648
OLSTAR BARBARA OLSZEWSKA wspólnik spółki cywilnej,Jerozolimskie 60,52.2254619,20.9897637
MICHAŁ KALISZ Dolomity.PL,BRYGADZISTÓW 3A,52.22162635,20.91310994848655
Code'n'Roll Damian Patoka,Rembertowska 19,52.2440661,21.182623420729314
12 WHEELS TRANSPORT ALEKSANDER PLASKOTA,Trakt Napoleoński 38,52.190827299999995,21.200090184668248
EWA DUDA EDX,Leszczynowa 14A,52.30547995,20.983153822603207
PAWEŁ KARPIŃSKI MATEO DESIGN,Fletniowa 2,52.3390963,20.97885868933225
TRANSWOZ JAROSŁAW WOŹNIAK WSPÓLNIK SPÓŁKI CYWILNEJ,Zdziarska 62,52.340831,21.05819633989607
JANUSZ FACON FITCON,Kępa Tarchomińska 6H/1,52.34576295,20.929216443587954
"LECH GRUNWALD PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE ""GRUNWALD""",BAŻANCIA 34,52.108612300000004,21.027593545468537
GRZEGORZ WĘGŁOWSKI,Przytulna 8A,52.35610935,20.983047025477045
"""GABINET LEKARSKI - Małgorzata Gorzkowska-Paczwa""",Sęczkowa 16D,52.20879015,21.111805574142004
WAR - SER II Adam Dzięcioł,Chodakowska 53/57,52.2530958,21.064457065529737
robert twarowski com,Podkowy 120/2,52.1717276,21.24624065064249
ELWIRA PALUCHOWSKA BETIVA Gabinet dermatologiczny,Garncarska 45,52.1799543,21.189322405428975
"IMpact, Edyta Karczewska",Ryżowa 24L,52.1970688,20.910945346195646
Jakub Podgajniak,Dalibora 14,52.24780105,20.943167499714882
MARCIN MARCINIUK SCOTBIZ,Borków 51A,52.19126355,21.151861823500166
DAGO DISPLAY Daniel Dąbrowski,Gwarków 41,52.26376325,21.120330519930896
PIK FAMILY PAULINA DĄBROWSKA,Szynowa 29,52.330529549999994,20.986117290471878
"ZBIGNIEW SEREMAK YES-SER S.C. Zbigniew Seremak; ACTIVE PARTNERS S.C. Zbigniew Seremak; IESER Zbigniew Seremak - Nazwa skrócona: YES-SER S.C.; ACTIVE PARTNERS S.C., IESER",Stągiewna 2A,52.33418955,20.966595350954606
GRZEGORZ CABAŃSKI,ul. Lucerny 109,52.2128851,21.1380761
"Z.P. ""OjA"" OSTROWSKI LECH",Sporna 2F,52.12397745,21.015187344067805
Kancelaria Adwokacka - Adwokat Mateusz Gronau,pl. Plac marsz. Józefa Piłsudskiego 1,52.2420984,21.0127655
MACIEJ CHROSTOWSKI MANITOU Maciej Chrostowski,Poleczki 20,52.1546438,21.011080615104355
Konrad Rakowski FORMY.WORK,ul. Belgijska 5/14,52.2027736,21.0258432
MICHAŁ SKOCZEŃ VIRTUAL PRODUCTION,NAPOLEONA BONAPARTE 47b,52.167964850000004,21.235117982843143
Mateusz Ośka Auto Mati,Dzwonkowa 40,52.1735264,20.925607569295437
PRZEMYSŁAW TRZECIECKI,MRĄGOWSKA 20G,52.170732599999994,21.168161916929783
Alfa Joanna Danielewska,Mrągowska 27k,52.170665299999996,21.16295362438578
Bożena Świderska,Kadrowa 38,52.26730105,21.165811861072065
Kacper Wojtaszewski - ACONIC,OLEŃKI 11,52.336075449999996,21.037288255377277
MAREK TOPORSKI,Śląska 26A,52.20540015,20.920702865306115
"Jerzy Stężycki TAWERNA ""FREGATA""",Bokserska 21,52.16754935,21.00564188734159
PIACH I PUDER MONIKA HARWAS-DRZYMULSKA,PRZASNYSKA 11A/206,52.25990725,20.966906638129387
Artur Kozyrski,ul. Puławska 166/172/66,52.1851211,21.0238316
"Wojciech DYRDA ""STRZECHA""  WOJCIECH DYRDA",Skarbka z Gór 51A,52.320434500000005,21.05635446532932
TOMASZ GAWAŁKIEWICZ,Kolendrowa 48,52.2158929,21.24927493289512
USŁUGI LEKARSKIE KRZYSZTOF KOMUDA,pl. Konfederacji 54,52.279995549999995,20.947201816791136
KRYSTYNA OWCZARSKA P.M.B. WARSZAWA,CIEPLARNIANA 23A,52.24980875,20.872446486569515
"KANCELARIA RADCY PRAWNEGO MARCIN KRZEMIŃSKI, KANCELARIA PRAWA KANONICZNEGO KANONISTA MARCIN KRZEMIŃSKI",al. Jana Chrystiana Szucha 8,52.21476805,21.022732920747895
"PIOTR NOWAKOWSKI REBUNO, DRUK",Trakt Lubelski 345B,52.2206321,21.134171797702198
